real,imaginary
-60.29056016285318,-110.77706380466776
-60.29056016285317,110.7770638046675
-44.53981721128764,95.05245746875562
-44.53981721128735,-95.05245746875559
-40.49528416985827,92.20224407941119
-40.49528416985783,-92.20224407941078
-48.73422023340465,85.05315243418994
-43.623092683615866,86.436696629516
-43.28703032202848,91.76227229119625
-48.734220233404955,-85.05315243419011
-43.623092683615994,-86.43669662951656
-43.28703032202853,-91.76227229119606
-54.76658070032021,-84.26105238620063
-54.766580700320475,84.26105238620094
-43.025273905852366,-86.19779114673206
-43.02527390585257,86.19779114673241
-28.937949874586508,-74.47170310186623
-45.771752372041256,-72.69549003457887
-28.937949874586394,74.47170310186571
-45.7717523720414,72.69549003457949
-32.304879972716606,-72.50092973351033
-32.30487997271642,72.5009297335101
-39.67271890443415,-70.92335856541786
-43.846793402428816,-72.77506446888853
-39.67271890443383,70.92335856541735
-43.846793402429,72.77506446888876
-42.51842966980551,-71.54073570487861
-42.51842966980567,71.54073570487843
-37.28388700952587,-70.71704367324803
-37.28388700952594,70.71704367324801
-40.985133773647775,-66.19700413425957
-35.55462703982957,-66.53168673419411
-40.98513377364739,66.19700413425959
-35.554627039829214,66.53168673419495
-37.009337143018904,-65.64489747418665
-37.00933714301906,65.64489747418722
-46.16277160210164,-62.472679952501274
-46.16277160210097,62.47267995250033
-51.95128267053789,58.381617731204216
-51.9512826705373,-58.38161773120348
-38.814051607077396,66.98067258535603
-39.976111626234704,66.71683694371815
-49.085722487480695,57.15836711699442
-28.17130501797094,62.73447422414897
-49.08572248748137,-57.15836711699504
-39.97611162623491,-66.71683694371876
-38.8140516070774,-66.98067258535525
-30.389665478360076,65.10812987214085
-28.171305017970912,-62.73447422414935
-30.389665478359724,-65.1081298721403
-42.59715982836586,63.081578161523616
-33.748112056440206,63.15412325461752
-42.59715982836599,-63.08157816152363
-36.81293593555585,64.75644239441549
-26.231113920186534,58.8134382023998
-37.260356041212965,62.54515738638546
-36.745791739253484,64.30068711020718
-26.231113920186818,-58.813438202400285
-33.748112056439794,-63.1541232546169
-36.812935935555764,-64.75644239441549
-41.31152013003038,62.039904718947135
-37.26035604121293,-62.54515738638533
-41.31152013002981,-62.03990471894687
-36.74579173925341,-64.30068711020753
-39.39687103186439,60.715559304476926
-40.9620605906141,62.105147822729776
-37.25952858614827,63.75124056447774
-39.39687103186448,-60.71555930447662
-40.96206059061422,-62.105147822729656
-37.259528586148406,-63.75124056447751
-26.980728527861896,59.69747338178831
-41.80156249556145,56.42410038089034
-26.98072852786178,-59.69747338178783
-44.5469878136293,-56.11041230024357
-41.80156249556135,-56.424100380889726
-44.54698781362932,56.11041230024395
-34.02866406721965,60.721390630219474
-37.492083992510985,61.74803903309026
-37.867385216420885,58.31541047245894
-33.59939678886017,60.17823245814075
-37.492083992510985,-61.748039033090436
-37.86738521642143,-58.31541047246002
-34.0286640672197,-60.72139063021989
-32.0667214529446,60.83978410684624
-38.0446268581706,56.884611981831206
-35.932407235348656,61.80319988674971
-33.59939678886028,-60.17823245814131
-35.93240723534839,-61.80319988674978
-32.06672145294444,-60.83978410684642
-38.04462685817028,-56.88461198183089
-33.94468548970686,61.08520904165029
-32.5265610736523,60.374613599030816
-33.700396837114056,61.01052703651729
-35.748863427033676,61.23780926135546
-30.907796367821646,59.16504443957943
-32.5265610736524,-60.374613599030866
-35.74886342703338,-61.23780926135534
-30.907796367821675,-59.165044439579574
-33.700396837113736,-61.01052703651698
-33.94468548970717,-61.085209041650685
-32.58695382291931,-56.34001077185252
-32.58695382291969,56.3400107718523
-36.344318702599,60.49136469324645
-36.344318702598855,-60.491364693246254
-36.02872877784171,-60.25248275382251
-41.02473956580208,-57.799682598128946
-34.68718238199321,-60.55199135552138
-34.6871823819932,60.55199135552078
-36.02872877784137,60.2524827538223
-41.02473956580172,57.79968259812777
-32.99384956347055,59.42588330329407
-32.99384956347051,-59.42588330329373
-40.317363262896436,57.56150784178343
-40.31736326289695,-57.561507841783715
0.00000000000015180989406451564,-0.00000000000003302925505153611
-39.95551312508982,53.442393379175556
-39.95551312509002,-53.442393379175385
-29.147935331023056,53.936929853454146
-29.147935331023415,-53.93692985345414
-36.76406116190743,57.84628663274033
-42.11807600990579,54.349353146231536
-36.764061161907414,-57.84628663274042
-37.238997540315545,-53.4557842029312
-37.23899754031571,53.45578420293172
-40.89673715195744,54.84308473184927
-42.118076009905856,-54.34935314623149
-40.896737151957275,-54.84308473184921
-39.86920148605854,-54.965376802572045
-39.869201486058586,54.96537680257221
-37.63369580201444,-55.63556776111525
-34.77575311235932,-56.106687441180284
-21.620506416929494,-48.86327436305769
-37.63369580201408,55.635567761114714
-21.620506416929356,48.86327436305774
-34.77575311235912,56.106687441180064
-32.662798764376205,-55.69501012536875
-35.74537109542106,-55.024517333789206
-32.662798764376404,55.69501012536893
-38.95171359177823,-53.4682521043351
-35.745371095420516,55.02451733378897
-39.44716933603641,-53.00059097048253
-39.264433402849896,-52.97992487778743
-27.34437844859917,-51.72491026031628
-38.95171359177813,53.46825210433524
-27.344378448599286,51.7249102603165
-39.44716933603646,53.000590970482804
-39.264433402849605,52.979924877787425
-29.83608218776881,-53.94567118860128
-29.83608218776872,53.94567118860123
-36.37542846661823,-53.359469873790054
-36.37542846661813,53.35946987378985
-28.219288118645764,50.96206294632926
-28.219288118645537,-50.96206294632886
-32.07979260312204,53.23904088452501
-36.63976645855471,-52.639185822962034
-32.07979260312202,-53.23904088452483
-32.860319605606904,-53.36294807406479
-36.63976645855451,52.639185822961785
-32.860319605606854,53.36294807406479
-21.695647235980786,45.31996097478902
-21.695647235980854,-45.31996097478898
-31.460715659666104,50.604546456660884
-30.640169077007005,50.20720460352547
-31.460715659666416,-50.60454645666151
-30.6401690770075,-50.207204603525796
-28.685196720469186,51.6433901847379
-28.685196720469353,-51.64339018473771
-33.51105526075448,50.12645271716698
-33.511055260754205,-50.126452717166806
-32.348772752205996,52.2287234329303
-26.370566965222213,-50.14593773591684
-36.930562003337144,-47.39422727526905
-32.34877275220591,-52.22872343293027
-26.37056696522197,50.145937735917
-36.93056200333684,47.394227275269
-36.1325159150212,-50.49280444069854
-27.042119372981915,50.03039057821977
-27.042119372982125,-50.03039057822044
-36.13251591502111,50.49280444069874
-32.50311671422932,-48.151778905362775
-32.503116714229115,48.15177890536286
-39.83557552039651,-44.42085427533
-39.83557552039636,44.42085427532995
-33.58481884376327,-47.55869412744821
-33.5848188437629,47.55869412744787
-27.85439107715933,-49.731812766985875
-27.854391077159264,49.731812766985925
-34.1618141248694,50.47417403762068
-34.161814124869124,-50.47417403762011
-42.12839288086914,45.37110926948695
-42.12839288086951,-45.371109269487214
-25.33342975960231,-44.91536394650275
-25.33342975960188,44.91536394650259
-29.590147219135808,-49.663339702361505
-31.413841385430405,-49.854059034034535
-29.590147219135726,49.663339702361306
-31.413841385430434,49.85405903403421
-45.40056059234178,-42.01686494699038
-45.40056059234183,42.016864946990324
-26.605721232908447,-45.43225467216095
-23.50000806429373,45.413347444167385
-26.60572123290838,45.43225467216035
-23.50000806429356,-45.41334744416705
-27.663006112259314,-48.07107936577107
-27.663006112259723,48.07107936577152
-21.335197424931568,-43.343032803934534
-21.335197424931767,43.34303280393438
-31.166975528362492,-48.30939703658314
-25.13910183369059,-43.21794805741239
-25.139101833690503,43.217948057412976
-31.16697552836261,48.30939703658313
-21.968748697789945,-42.96582679298103
-29.646128672911367,-47.44311743257563
-21.968748697790016,42.965826792981446
-38.076702955240826,-43.29512157840288
-35.64819011287649,-44.67810993295954
-29.64612867291128,47.443117432575576
-38.07670295524066,43.29512157840276
-42.362525811598985,-40.59975082042773
-35.648190112876506,44.67810993295976
-42.362525811599205,40.59975082042784
-23.402815293435633,-40.38861296466559
-34.14748909840042,-44.511904532195636
-23.402815293435967,40.38861296466627
-34.147489098400406,44.51190453219573
-37.799601446475194,-44.12807006613182
-34.26622162305002,-45.996214090085466
-37.79960144647493,44.12807006613126
-33.696273889926225,-46.046657583560844
-40.653342729206145,41.0904349793824
-34.26622162304995,45.99621409008521
-33.69627388992636,46.046657583561306
-40.65334272920514,-41.09043497938155
-31.021105198499743,44.396569575599614
-31.021105198499633,-44.39656957559937
-39.059183060462885,-39.832804299643264
-30.454534632647416,-45.923709408531906
-39.059183060462864,39.83280429964323
-30.45453463264762,45.923709408532744
-43.71224084393934,-36.66174113774993
-36.07173381668223,-41.28894466133024
-38.202264348023775,-41.848386706643254
-29.03849264005721,-44.32390277946893
-29.038492640057125,44.323902779468945
-36.07173381668254,41.28894466133011
-38.20226434802354,41.848386706643296
-32.116388973178736,-44.81658382216101
-37.28037714164638,-39.54338636913632
-37.280377141646454,39.543386369136485
-32.11638897317847,44.81658382216118
-32.694624874723615,-44.183338934562286
-32.69462487472332,44.18333893456228
-32.12788639567441,-43.99951926551883
-31.490707931075832,41.33285316016659
-31.490707931075875,-41.33285316016622
-30.750785206002988,-43.73518845846851
-32.127886395674516,43.99951926551848
-33.15802242740557,-40.7848098242824
-30.750785206003325,43.735188458469146
-35.103383410537454,39.97438972317828
-33.158022427405356,40.78480982428239
-35.10338341053745,-39.97438972317825
-48.148100064764066,29.111783343881665
-43.71224084393958,36.66174113774991
-48.14810006476378,-29.11178334388147
-43.79575084358059,34.85187863092056
-19.14653347924062,33.39389133462954
-25.597472580121895,41.81094645848834
-43.79575084358063,-34.8518786309205
-19.14653347924095,-33.39389133462971
-27.28075759211708,41.945444438676454
-25.524843175927856,38.29700759652033
-40.21541835670649,36.044970325949414
-37.86019424359797,40.93439709784422
-31.346501668129473,42.84199786905871
-28.785212229823873,42.120212818189295
-39.591102125348186,38.67397310266281
-28.229746756173743,39.423877121953666
-29.40833239451655,40.39549558635187
-26.272353581435073,37.20182066753735
-38.77003844026256,37.43468755113797
-25.597472580121945,-41.810946458488516
-27.44930347243896,40.29461501504762
-28.430010065303016,40.92304789655267
-35.854414728564976,38.620478430746964
-33.06269995037413,41.623198971985495
-36.75216593612459,37.738953397630496
-40.21541835670687,-36.04497032594943
-37.86019424359782,-40.93439709784389
-38.20304713386524,35.763815280191764
-25.524843175927952,-38.29700759652039
-27.280757592117354,-41.94544443867657
-36.047246827285804,40.11279679741473
-39.59110212534781,-38.67397310266242
-38.77003844026302,-37.43468755113836
-31.346501668129655,-42.84199786905887
-28.785212229823806,-42.120212818189536
-32.73555097311191,38.771096110387475
-29.40833239451639,-40.39549558635168
-28.229746756173846,-39.42387712195382
-39.218640099768514,37.06220444494611
-26.27235358143499,-37.20182066753716
-35.85441472856513,-38.62047843074694
-33.93179817597391,40.775609699979526
-36.75216593612412,-37.73895339763052
-28.430010065303044,-40.92304789655313
-33.06269995037418,-41.62319897198529
-38.20304713386508,-35.76381528019162
-27.44930347243886,-40.29461501504742
-36.04724682728592,-40.112796797414774
-32.735550973111614,-38.77109611038748
-39.21864009976869,-37.062204444945785
-36.4055474857794,36.73791779146926
-36.405547485779636,-36.73791779146915
-33.931798175973576,-40.77560969997913
-31.132756107919814,41.06266018521746
-31.132756107919942,-41.06266018521739
-29.717966062995195,40.37164994824555
-38.21287262368382,-37.81014126113321
-29.717966062995472,-40.37164994824558
-38.21287262368377,37.810141261133424
-28.4715951584392,-39.9077701814246
-28.471595158439296,39.90777018142448
-32.64722934335871,40.08834079869924
-32.647229343359015,-40.08834079869938
-32.33858994612536,40.1555127760973
-32.33858994612524,-40.15551277609707
-12.604781882401657,27.106992233061735
-12.604781882401705,-27.106992233061803
-42.15368000158528,29.392873488273914
-21.99992653949776,36.09713259011121
-23.158731656456315,34.913167402188904
-23.040080372099474,36.77165038457669
-42.15368000158584,-29.39287348827429
-21.99992653949771,-36.09713259011121
-25.089518356441634,35.259673842720815
-40.804188723304314,-28.99326217271524
-23.158731656456094,-34.91316740218852
-23.04008037209926,-36.771650384576496
-38.631926777873396,35.90143782525909
-26.650344033651077,38.23922346897016
-38.63192677787364,-35.90143782525872
-28.810910100572723,37.27187093140491
-26.652788497386457,37.763559560507915
-27.53179584040278,38.25759533598174
-25.08951835644149,-35.25967384272082
-32.0075172055176,39.91609531658258
-35.66920927720544,38.44450472721654
-34.32845457864619,39.06435830338695
-35.669209277205674,-38.44450472721636
-28.810910100572503,-37.271870931404884
-34.79729515551083,35.54250620884153
-26.65034403365139,-38.239223468970096
-32.00751720551748,-39.916095316582634
-34.328454578646145,-39.06435830338692
-36.60450535517905,37.21115219017093
-33.538422592096026,39.07569159061227
-36.35576482447111,37.41787754734095
-34.7972951555112,-35.54250620884206
-36.60450535517874,-37.21115219017105
-27.53179584040247,-38.25759533598179
-36.35576482447106,-37.4178775473415
-26.65278849738666,-37.763559560508085
-33.53842259209617,-39.07569159061273
-30.41286924908765,36.29278708716664
-30.41286924908759,-36.29278708716664
-30.435267270423427,38.62150473031878
-33.31535753505182,38.44910331776103
-33.31535753505195,-38.44910331776064
-30.43526727042338,-38.62150473031884
-26.41593858435499,-37.247258956898676
-31.158788637193894,38.21563604519222
-31.158788637193947,-38.215636045192355
-18.72647114754451,30.668574157172337
-18.72647114754432,-30.66857415717209
-42.149006736467136,28.456340072874795
-21.45278187540287,-34.02483558781144
-40.80418872330399,28.993262172714992
-21.507737194402754,-32.27819321990391
-21.45278187540276,34.024835587811005
-23.93321328914814,-34.90042288224417
-37.19675895868702,-36.00062278325138
-25.333533514015432,-36.38821554722764
